0,queri,
1,beard,
2,result,
3,set,
4,passeng,
5,permiss,
6,possibl,
7,power,
8,play,
9,ladi,
10,gentleman,
11,strang,
12,land,
13,god,
14,man,
15,love,
16,smile,
17,face,
18,fill,
19,room,
20,not,
21,pleaser,
22,fever,
23,album,
24,kraterov,
25,titular,
26,councillor,
27,thin,
28,slender,
29,admiralti,
30,spire,
31,step,
32,forward,
33,address,
34,zhmyhov,
35,said,
36,your,
37,excel,
38,move,
39,touch,
40,bottom,
41,our,
42,heart,
43,by,
44,way,
45,you,
46,rule,
47,u,
48,dure,
49,long,
50,year,
51,fatherli,
52,care,
53,cours,
54,more,
55,than,
56,ten,
57,zakusin,
58,prompt,
59,subordin,
60,thi,
61,so,
62,memor,
63,er,
64,day,
65,beg,
66,accept,
67,token,
68,respect,
69,profound,
70,gratitud,
71,with,
72,portrait,
73,it,
74,express,
75,hope,
76,that,
77,durat,
78,distinguish,
79,life,
80,come,
81,die,
82,may,
83,abandon,
84,guidanc,
85,path,
86,justic,
87,progress,
88,ad,
89,wipe,
90,from,
91,brow,
92,perspir,
93,suddenli,
94,appear,
95,he,
96,wa,
97,evid,
98,speak,
99,probabl,
100,speech,
101,readi,
102,wound,
103,standard,
104,fli,
105,career,
106,geniu,
107,industri,
108,social,
109,self,
110,conscious,
111,tear,
112,trickl,
113,down,
114,wrinkl,
115,left,
116,cheek,
117,shake,
118,voic,
119,i,
120,did,
121,expect,
122,idea,
123,were,
124,go,
125,celebr,
126,my,
127,modest,
128,jubile,
129,inde,
130,veri,
131,much,
132,shall,
133,forget,
134,moment,
135,believ,
136,me,
137,friend,
138,one,
139,desir,
140,welfar,
141,if,
142,there,
143,been,
144,anyth,
145,benefit,
146,actual,
147,civil,
148,kiss,
149,who,
150,such,
151,an,
152,honour,
153,turn,
154,pale,
155,delight,
156,then,
157,chief,
158,made,
159,gestur,
160,signifi,
161,could,
162,emot,
163,shed,
164,though,
165,expens,
166,present,
167,him,
168,but,
169,contrari,
170,taken,
171,when,
172,littl,
173,recov,
174,few,
175,word,
176,full,
177,feel,
178,given,
179,everyon,
180,hand,
181,went,
182,downstair,
183,amid,
184,loud,
185,joy,
186,cheer,
187,got,
188,into,
189,carriag,
190,drove,
191,off,
192,follow,
193,their,
194,bless,
195,sat,
196,hi,
197,awar,
198,flood,
199,joyou,
200,never,
201,known,
202,befor,
203,onc,
204,home,
205,new,
206,await,
207,famili,
208,acquaint,
209,prepar,
210,ovat,
211,seem,
212,realli,
213,great,
214,servic,
215,countri,
216,exist,
217,would,
218,perhap,
219,bad,
220,dinner,
221,toast,
222,short,
223,merit,
224,warmli,
225,appreci,
226,dessert,
227,two,
228,hour,
229,ago,
230,recompens,
231,suffer,
232,undergo,
233,servant,
234,say,
235,routin,
236,letter,
237,duti,
238,through,
239,whole,
240,constantli,
241,adher,
242,principl,
243,public,
244,doe,
245,receiv,
246,highest,
247,reward,
248,see,
249,festiv,
250,bent,
251,over,
252,began,
253,examin,
254,s,
255,pretti,
256,daughter,
257,olya,
258,must,
259,cost,
260,fifti,
261,roubl,
262,oh,
263,charm,
264,give,
265,papa,
266,hear,
267,ll,
268,take,
269,after,
270,carri,
271,shut,
272,tabl,
273,drawer,
274,next,
275,she,
276,took,
277,clerk,
278,out,
279,flung,
280,them,
281,floor,
282,put,
283,school,
284,place,
285,govern,
286,uniform,
287,white,
